impl,N,elapsed_ms,ops_total
fib_recursive,1,0,0
fib_recursive,2,0,1
fib_recursive,3,0,2
fib_recursive,4,0,4
fib_recursive,5,0,7
fib_recursive,6,0,12
fib_recursive,7,0,20
fib_recursive,8,0,33
fib_recursive,9,0,54
fib_recursive,10,0,88
fib_recursive,11,0,143
fib_recursive,12,0,232
fib_recursive,13,0,376
fib_recursive,14,0,609
fib_recursive,15,0,986
fib_recursive,16,0,1596
fib_recursive,17,0,2583
fib_recursive,18,0,4180
fib_recursive,19,0,6764
fib_recursive,20,0,10945
fib_recursive,21,0,17710
fib_recursive,22,0,28656
fib_recursive,23,0,46367
fib_recursive,24,0,75024
fib_recursive,25,0,121392
fib_recursive,26,0,196417
fib_recursive,27,0,317810
fib_recursive,28,0,514228
fib_recursive,29,0,832039
fib_recursive,30,0,1346268
fib_recursive,31,0,2178308
fib_recursive,32,0,3524577
fib_recursive,33,0,5702886
fib_recursive,34,0,9227464
fib_recursive,35,0,14930351
fib_recursive,36,0,24157816
fib_recursive,37,0,39088168
fib_recursive,38,0,63245985
fib_recursive,39,0,102334154
fib_recursive,40,0,165580140
