impl,N,elapsed_ms,ops_total
euclid_worst,1,0,1
euclid_worst,1,0,1
euclid_worst,2,0,2
euclid_worst,3,0,3
euclid_worst,5,0,4
euclid_worst,8,0,5
euclid_worst,13,0,6
euclid_worst,21,0,7
euclid_worst,34,0,8
euclid_worst,55,0,9
euclid_worst,89,0,10
euclid_worst,144,0,11
euclid_worst,233,0,12
euclid_worst,377,0,13
euclid_worst,610,0,14
euclid_worst,987,0,15
euclid_worst,1597,0,16
euclid_worst,2584,0,17
euclid_worst,4181,0,18
euclid_worst,6765,0,19
euclid_worst,10946,0,20
euclid_worst,17711,0,21
euclid_worst,28657,0,22
euclid_worst,46368,0,23
euclid_worst,75025,0,24
euclid_worst,121393,0,25
euclid_worst,196418,0,26
euclid_worst,317811,0,27
euclid_worst,514229,0,28
euclid_worst,832040,0,29
euclid_worst,1346269,0,30
euclid_worst,2178309,0,31
euclid_worst,3524578,0,32
euclid_worst,5702887,0,33
euclid_worst,9227465,0,34
euclid_worst,14930352,0,35
euclid_worst,24157817,0,36
euclid_worst,39088169,0,37
euclid_worst,63245986,0,38
euclid_worst,102334155,0,39
